Category,Drug Count
Adrenergics for Systemic Use,18
Other Diagnostics,18
Morpholines,18
Ergot Alkaloids and Derivatives,18
Anti-epileptic Agent,18
Cytochrome P-450 CYP3A4 Inducers (strong),18
Thyroxine-binding globulin substrates,18
Arylsulfonates,18
Selective Calcium Channel Blockers With Mainly Vascular Effects,18
Nitrogen Mustard Compounds,18
"Contraceptives, Oral, Synthetic",18
"Progestogens and Estrogens, Sequential Preparations",18
Benzocycloheptenes,18
Sesquiterpenes,18
Excitatory Amino Acid Agents,18
Excitatory Amino Acid Antagonists,18
Antiplatyhelmintic Agents,18
Pyrrolidinones,18
Androgens,18
Electrolyte Solutions,18
17-Ketosteroids,18
Ketosteroids,18
"Fatty Acids, Monounsaturated",18
Azepines,18
Pyridazines,18
"Carbon Compounds, Inorganic",18
Cosmetics,18
Insulin,17
Immunomodulatory Agents,17
Cytochrome P-450 CYP2C9 Inhibitors (moderate),17
Dopamine Uptake Inhibitors,17
Cytochrome P-450 CYP2E1 Inducers,17
Anti-Obesity Agents,17
Drugs for Urinary Frequency and Incontinence,17
UGT1A1 Inducers,17
Methyl Ethers,17
Imidazole Derivatives,17
Serotonin 5-HT2 Receptor Agonists,17
Cytochrome P-450 CYP3A7 Substrates with a Narrow Therapeutic Index,17
Cytochrome P-450 CYP2C8 Inhibitors (strong),17
Third-Generation Cephalosporins,17
Dihydropyridine Derivatives,17
Negative Inotrope,17
Ophthalmics,17
Norpregnenes,17
"Contraceptives, Oral, Hormonal",17
"Barbiturates, Plain",17
Acetic Acid Derivatives and Related Substances,17
Benzylisoquinolines,17
"Lactams, Macrocyclic",17
17-Hydroxycorticosteroids,17
Stereoisomerism,17
Cyclodecanes,17
"Drugs, Chinese Herbal",17
Organic Anion Transporting Polypeptide 1B1 Inhibitors,17
Bacterial Toxins,16
Agents reducing cytokine levels,16
Pituitary Hormone-Releasing Hormones,16
Disaccharides,16
