Name,DrugBank ID (Primary),Type,Groups,Categories,has_dosing,Frequency,Times Per Day,Routes,Dosing Source,Interaction Count,Food Interaction Count,Has Description,Has Mechanism,Has Absorption,Has Metabolism,Has Half Life
Disitertide,DB12953,biotech,investigational,,No,,,,,0,0,Yes,No,No,No,No
Terizidone,DB12954,small molecule,approved; investigational,Antiinfectives for Systemic Use; Antimycobacterials; Drugs for Treatment of Tuberculosis; Oxazoles,No,,,,,0,0,Yes,No,No,No,No
Delparantag,DB12955,small molecule,investigational,,No,,,,,0,0,Yes,No,No,No,No
Vantictumab,DB12956,biotech,investigational,,No,,,,,0,0,Yes,No,No,No,No
5-fluoro-2'-deoxycytidine,DB12957,small molecule,investigational,"Deoxyribonucleosides; Nucleic Acids, Nucleotides, and Nucleosides; Nucleosides; Pyrimidine Nucleosides; Pyrimidines",No,,,,,0,0,Yes,No,No,No,No
Prothipendyl,DB12958,small molecule,investigational,Antipsychotic Agents; Central Nervous System Depressants; Nervous System; Neurotoxic agents; Psycholeptics,Yes,,,Oral,DrugBank text extraction,714,0,Yes,No,No,No,No
IOWH-032,DB12959,small molecule,investigational,Oxazoles,No,,,,,0,0,Yes,No,No,No,No
INCB-9471,DB12960,small molecule,investigational,"Receptors, CCR4, antagonists & inhibitors",No,,,,,0,0,Yes,Yes,No,No,No
Leukotriene B4,DB12961,small molecule,investigational,Arachidonic Acids; Autacoids; Biological Factors; Eicosanoids; Fatty Acids,No,,,,,0,0,Yes,No,No,No,No
CP-547632,DB12962,small molecule,investigational,Amides; Sulfur Compounds,No,,,,,0,0,Yes,No,No,No,No
CCX-354,DB12963,small molecule,investigational,,No,,,,,0,0,Yes,No,No,No,No
Lerisetron,DB12964,small molecule,investigational,"Heterocyclic Compounds, Fused-Ring",No,,,,,0,0,Yes,No,No,No,No
Silver,DB12965,small molecule,approved; investigational,"Antiseptics and Disinfectants; Dermatologicals; Elements; Metals; Metals, Heavy",Yes,Twice daily,2,,OpenFDA,0,0,Yes,Yes,Yes,Yes,Yes
Falnidamol,DB12966,small molecule,investigational,,No,,,,,0,0,Yes,No,No,No,No
Mitoguazone,DB12967,small molecule,investigational,Amidines; Antineoplastic Agents; Antineoplastic and Immunomodulating Agents; Enzyme Inhibitors; Guanidines,No,,,,,39,0,Yes,No,No,No,No
DONU,DB12968,small molecule,investigational,Amides; Nitroso Compounds,No,,,,,0,0,Yes,No,No,No,No
Methylinositol,DB12969,small molecule,investigational,Alcohols; Carbohydrates; Sugar Alcohols,No,,,,,0,0,Yes,No,No,No,No
Levoglucose,DB12970,small molecule,investigational,"Carbohydrates; Compounds used in a research, industrial, or household setting; Diet, Food, and Nutrition; Flavoring Agents; Food",No,,,,,0,0,Yes,No,No,No,No
Pactimibe,DB12971,small molecule,investigational,"Heterocyclic Compounds, Fused-Ring; Indoles; Sterol O-Acyltransferase, antagonists & inhibitors",No,,,,,0,0,Yes,No,No,No,No
Sepranolone,DB12972,small molecule,investigational,Anesthetics; Central Nervous System Agents; Central Nervous System Depressants; Fused-Ring Compounds; Pregnanes,No,,,,,0,0,Yes,No,No,No,No
Serlopitant,DB12973,small molecule,investigational,"Heterocyclic Compounds, Fused-Ring; Neurokinin-1 Receptor Antagonists; Neurotransmitter Agents",No,,,,,0,0,Yes,No,No,No,No
Roniciclib,DB12974,small molecule,investigational,Sulfur Compounds,No,,,,,0,0,Yes,No,No,No,No
Pyronaridine,DB12975,small molecule,investigational,"Anti-Infective Agents; Antimalarials; Antiparasitic Agents; Antiparasitic Products, Insecticides and Repellents; Antiprotozoals",Yes,,,,DrugBank text extraction,68,0,Yes,No,No,No,No
Robatumumab,DB12976,biotech,investigational,"Amino Acids, Peptides, and Proteins; Antibodies; Antibodies, Monoclonal; Blood Proteins; Globulins",No,,,,,372,0,Yes,No,No,No,No
Simenepag isopropyl,DB12977,small molecule,investigational,,No,,,,,0,0,Yes,No,No,No,No
Pexidartinib,DB12978,small molecule,approved; investigational,Amines; Antineoplastic Agents; Antineoplastic and Immunomodulating Agents; Cancer immunotherapy; Cytochrome P-450 CYP2B6 Inducers,Yes,Once daily,1,,OpenFDA,646,5,Yes,Yes,Yes,Yes,Yes
Nepicastat,DB12979,small molecule,investigational,"Dopamine beta-Hydroxylase, antagonists & inhibitors; Sulfur Compounds",No,,,,,0,0,Yes,No,No,No,No
CHS-828,DB12980,small molecule,investigational,Amidines; Anions; Electrolytes; Ions; Nitrogen Compounds,No,,,,,0,0,Yes,No,No,No,No
XL-888,DB12981,small molecule,investigational,"Acids, Carbocyclic; Aza Compounds; HSP90 Heat-Shock Proteins, antagonists & inhibitors",No,,,,,0,0,Yes,No,No,No,No
Silicon,DB12982,small molecule,approved; investigational,"Diet, Food, and Nutrition; Elements; Food; Metalloids; Micronutrients",Yes,,,,OpenFDA,0,1,Yes,No,No,No,No
Phthalocyanine,DB12983,small molecule,investigational,"Heterocyclic Compounds, Fused-Ring; Pigments, Biological; Radiation-Sensitizing Agents",No,,,,,0,0,Yes,No,No,No,No
Larotaxel,DB12984,small molecule,investigational,Cyclodecanes; Cycloparaffins; Diterpenes; Terpenes,No,,,,,0,0,Yes,No,No,No,No
Quisinostat,DB12985,small molecule,investigational,Amines; Hydroxy Acids; Hydroxylamines,No,,,,,0,0,Yes,No,No,No,No
VS-5584,DB12986,small molecule,investigational,"Heterocyclic Compounds, Fused-Ring; Oxazines",No,,,,,0,0,Yes,No,No,No,No
Penclomedine,DB12987,small molecule,investigational,Antineoplastic Agents; Pyridines,No,,,,,39,0,Yes,No,No,No,No
LY-518674,DB12988,small molecule,investigational,"Acids, Acyclic; Fatty Acids; Fatty Acids, Volatile; Lipids",No,,,,,0,0,Yes,No,No,No,No
Neosaxitoxin,DB12989,small molecule,investigational,Agrochemicals; Bacterial Toxins; Biological Factors; Central Nervous System Depressants; Complex Mixtures,No,,,,,813,0,Yes,No,No,No,No
Icosabutate,DB12990,small molecule,investigational,"Acids, Acyclic; Fatty Acids; Fatty Acids, Volatile; Lipids",No,,,,,0,0,Yes,No,No,No,No
Deoxyspergualin,DB12991,small molecule,investigational,"Amidines; Antibiotics, Antineoplastic; Antineoplastic Agents; Compounds used in a research, industrial, or household setting; Immunologic Factors",No,,,,,390,0,Yes,No,No,No,No
Bleomycin A6,DB12992,small molecule,investigational,"Amino Acids, Peptides, and Proteins; Carbohydrates; Glycoconjugates; Glycopeptides; Peptides",No,,,,,0,0,Yes,No,No,No,No
Berkelium,DB12993,small molecule,investigational,"Actinoid Series Elements; Elements; Elements, Radioactive; Isotopes; Metals",No,,,,,0,0,Yes,No,No,No,No
MIP-1095 I-123,DB12994,small molecule,investigational,,No,,,,,0,0,Yes,No,No,No,No
Acteoside,DB12996,small molecule,investigational,"Anti-Infective Agents; Antineoplastic Agents; Antineoplastic Agents, Phytogenic; Antioxidants; Benzene Derivatives",No,,,,,391,0,Yes,No,No,No,No
Brilacidin,DB12997,small molecule,investigational,Amidines; Anti-Infective Agents,No,,,,,0,0,Yes,No,No,No,No
PF-00217830,DB12998,small molecule,investigational,"Heterocyclic Compounds, Fused-Ring",No,,,,,0,0,Yes,No,No,No,No
MK-6186,DB12999,small molecule,investigational,,No,,,,,0,0,Yes,No,No,No,No
PCI-27483,DB13000,small molecule,investigational,"Amides; Amidines; Amino Acids; Amino Acids, Acidic; Amino Acids, Dicarboxylic",No,,,,,0,0,Yes,No,No,No,No
Tinoridine,DB13001,small molecule,investigational,"Agents causing hyperkalemia; Agents that produce hypertension; Analgesics; Analgesics, Non-Narcotic; Anti-Inflammatory Agents",Yes,,,,DrugBank text extraction,1386,0,Yes,No,No,No,No
HKI-357,DB13002,small molecule,investigational,,No,,,,,0,0,Yes,No,No,No,No
Cortivazol,DB13003,small molecule,investigational,"Adrenal Cortex Hormones; Anti-Inflammatory Agents; Corticosteroids; Corticosteroids for Systemic Use; Corticosteroids for Systemic Use, Plain",No,,,,,1184,0,Yes,No,No,No,No
Mavoglurant,DB13004,small molecule,investigational,"Heterocyclic Compounds, Fused-Ring",No,,,,,0,0,Yes,No,No,No,No
Rebastinib,DB13005,small molecule,investigational,"Antineoplastic Agents; Enzyme Inhibitors; Heterocyclic Compounds, Fused-Ring; Leukemia, Myelogenous, Chronic, BCR-ABL Positive, drug therapy; Protein Kinase Inhibitors",No,,,,,39,0,Yes,No,No,No,No
Cibinetide,DB13006,small molecule,investigational,"Amino Acids, Peptides, and Proteins; Peptides",No,,,,,0,0,Yes,No,No,No,No
Enfortumab vedotin,DB13007,biotech,approved; investigational,"Amino Acids, Peptides, and Proteins; Antibodies; Antibodies, Monoclonal; Antibodies, Monoclonal, Humanized; Antibody-drug Conjugates",Yes,,,,OpenFDA,342,0,Yes,Yes,Yes,Yes,Yes
"2,2-bis(4-hydroxy-3-tert-butylphenyl)propane",DB13008,small molecule,investigational,,No,,,,,0,0,Yes,No,No,No,No
Carbendazim,DB13009,small molecule,investigational,"Acids, Acyclic; Agrochemicals; Anthelmintics; Anti-Infective Agents; Antinematodal Agents",No,,,,,0,0,Yes,No,No,No,No
4-isothioureidobutyronitrile,DB13010,small molecule,investigational,,No,,,,,0,0,Yes,No,No,No,No
Diethylhomospermine,DB13011,small molecule,investigational,,No,,,,,0,0,Yes,No,No,No,No
AQX-1125,DB13012,small molecule,investigational,Alcohols; Cyclohexanes; Cycloparaffins; Fatty Alcohols; Hexanols,No,,,,,0,0,Yes,No,No,No,No
LFF-571,DB13013,small molecule,investigational,"Amino Acids, Peptides, and Proteins; Anti-Bacterial Agents; Anti-Infective Agents; Peptides; Sulfur Compounds",No,,,,,0,0,Yes,No,No,No,No
Hypericin,DB13014,small molecule,investigational,Anthracenes; Anti-Infective Agents; Antidepressive Agents; Antineoplastic Agents; Benz(a)Anthracenes,No,,,,,1042,0,Yes,No,No,No,No
LY-2300559,DB13016,small molecule,investigational,"Acids, Carbocyclic; Benzene Derivatives; Ketones",No,,,,,0,0,Yes,No,No,No,No
Rovalpituzumab tesirine,DB13017,biotech,investigational,"Amino Acids, Peptides, and Proteins; Antibodies; Antibodies, Monoclonal; Antibodies, Monoclonal, Humanized; Benzazepines",No,,,,,373,0,Yes,No,No,No,No
Dimiracetam,DB13018,small molecule,investigational,,No,,,,,0,0,Yes,No,No,No,No
Henatinib,DB13019,small molecule,investigational,"Heterocyclic Compounds, Fused-Ring; Vascular Endothelial Growth Factors, antagonists & inhibitors",No,,,,,0,0,Yes,No,No,No,No
Apratastat,DB13020,small molecule,investigational,Oxazines,No,,,,,0,0,Yes,No,No,No,No
123I-iodometomidate,DB13021,small molecule,investigational,,No,,,,,0,0,Yes,No,No,No,No
LY-2874455,DB13022,small molecule,investigational,"Heterocyclic Compounds, Fused-Ring; Pyrazoles; Receptors, Fibroblast Growth Factor, antagonists & inhibitors",No,,,,,0,0,Yes,No,No,No,No
IPI-493,DB13023,small molecule,investigational,"Amides; HSP90 Heat-Shock Proteins, antagonists & inhibitors; Lactams; Protein-Serine-Threonine Kinases, antagonists & inhibitors; Quinones",No,,,,,0,0,Yes,No,No,No,No
MK-8245,DB13024,small molecule,investigational,"Acids, Acyclic; Fatty Acids; Fatty Acids, Volatile; Lipids; Stearoyl-CoA Desaturase, antagonists & inhibitors",No,,,,,0,0,Yes,No,No,No,No
Tiapride,DB13025,small molecule,investigational,"Acids, Carbocyclic; Amines; Antipsychotic Agents; Benzamides and benzamide derivatives; Benzene Derivatives",Yes,,,Intramuscular; Intramuscular; Intravenous; Oral,DrugBank text extraction,1335,0,Yes,Yes,Yes,Yes,Yes
Ornidazole,DB13026,small molecule,investigational,Amebicides; Anti-Infective Agents; Antibacterials for Systemic Use; Antiinfectives for Systemic Use; Antiparasitic Agents,Yes,,,Oral; Vaginal; Intravenous; Parenteral,DrugBank text extraction,23,0,Yes,No,No,No,No
Tucaresol,DB13027,small molecule,investigational,"Acids, Carbocyclic; Aldehydes; Benzene Derivatives",No,,,,,2,0,Yes,No,No,No,No
Biapenem,DB13028,small molecule,investigational,Amides; Anti-Bacterial Agents; Anti-Infective Agents; Antibacterials for Systemic Use; Antiinfectives for Systemic Use,Yes,,,,DrugBank text extraction,56,0,Yes,No,No,No,No
MK-0873,DB13029,small molecule,investigational,"Enzyme Inhibitors; Heterocyclic Compounds, Fused-Ring; Phosphodiesterase 4 Inhibitors; Phosphodiesterase Inhibitors",No,,,,,1,0,Yes,No,No,No,No
2'-fluoro-5-ethylarabinosyluracil,DB13030,small molecule,investigational,Anti-Infective Agents; Antiviral Agents; Arabinonucleosides; Growth Inhibitors; Growth Substances,No,,,,,0,0,Yes,No,No,No,No
Niobium,DB13031,small molecule,investigational,"Elements; Metals; Metals, Heavy; Transition Elements",Yes,,,,OpenFDA,0,0,Yes,No,No,No,No
Enecadin,DB13032,small molecule,investigational,,No,,,,,0,0,Yes,No,No,No,No
Urocortin-2,DB13033,biotech,investigational,"Amino Acids, Peptides, and Proteins; Hormones; Hormones, Hormone Substitutes, and Hormone Antagonists; Neuropeptides; Peptide Hormones",No,,,,,0,0,Yes,No,No,No,No
Foxy-5,DB13034,small molecule,investigational,,No,,,,,0,0,Yes,No,No,No,No
AG-24322,DB13035,small molecule,investigational,"CDC2 Protein Kinase, antagonists & inhibitors; Cyclin-Dependent Kinase 2, antagonists & inhibitors; Heterocyclic Compounds, Fused-Ring; Pyrazoles",No,,,,,0,0,Yes,No,No,No,No
Ramatroban,DB13036,small molecule,investigational,"Amides; Antiplatelet agents; Hematologic Agents; Heterocyclic Compounds, Fused-Ring; Indoles",No,,,,,417,0,Yes,No,No,No,No
Namilumab,DB13037,biotech,investigational,"Amino Acids, Peptides, and Proteins; Antibodies; Antibodies, Monoclonal; Blood Proteins; Globulins",No,,,,,372,0,Yes,Yes,No,No,No
Glyceryl Trioleate,DB13038,small molecule,investigational,"Fats; Fats, Unsaturated; Glycerides; Lipids; Triglycerides",No,,,,,0,0,Yes,No,No,No,No
Aminaphthone,DB13039,small molecule,investigational,"Acids, Carbocyclic; Aminobenzoates; Benzene Derivatives; Benzoates; Coagulants",Yes,,,Oral,DrugBank text extraction,0,0,Yes,No,No,No,No
Gandotinib,DB13040,small molecule,investigational,"Janus Kinase 2, antagonists & inhibitors; Janus Kinases, antagonists & inhibitors",No,,,,,0,0,Yes,No,No,No,No
Odalasvir,DB13041,small molecule,investigational,"Acids, Acyclic; Anti-Infective Agents; Antiviral Agents; Heterocyclic Compounds, Fused-Ring",No,,,,,14,0,Yes,No,No,No,No
Fenoverine,DB13042,small molecule,investigational,"Alimentary Tract and Metabolism; Autonomic Agents; Drugs for Functional Gastrointestinal Disorders; Heterocyclic Compounds, Fused-Ring; Parasympatholytics",Yes,,,Oral,DrugBank text extraction,0,0,Yes,No,No,No,No
Gossypol,DB13044,small molecule,investigational,"Adrenal Cortex Hormones; Contraceptive Agents, Male; Hormonal Contraceptives for Systemic Use; Reproductive Control Agents; Sesquiterpenes",No,,,,,402,0,Yes,No,No,No,No
Racotumomab,DB13045,biotech,investigational,"Amino Acids, Peptides, and Proteins; Antibodies; Antibodies, Monoclonal; Blood Proteins; Globulins",No,,,,,372,0,Yes,No,No,No,No
Tocladesine,DB13046,small molecule,investigational,"Adenine Nucleotides; Antineoplastic Agents; Cyclic AMP; Heterocyclic Compounds, Fused-Ring; Immunologic Factors",No,,,,,39,0,Yes,No,No,No,No
Pentavalent Antimony,DB13047,small molecule,investigational,,No,,,,,0,0,Yes,No,No,No,No
PAC-1,DB13048,small molecule,investigational,,No,,,,,0,0,Yes,No,No,No,No
Lobaplatin,DB13049,small molecule,investigational,Cycloparaffins; Organometallic Compounds,No,,,,,0,0,Yes,No,No,No,No
Tirilazad,DB13050,small molecule,investigational,"Antioxidants; Biological Factors; Central Nervous System Agents; Compounds used in a research, industrial, or household setting; Fused-Ring Compounds",No,,,,,0,0,Yes,No,No,No,No
CH-5132799,DB13051,small molecule,investigational,"Amides; Class I Phosphatidylinositol 3-Kinases, antagonists & inhibitors; Sulfones; Sulfur Compounds",No,,,,,0,0,Yes,No,No,No,No
Upamostat,DB13052,small molecule,investigational,Amides; Amines; Hydroxylamines; Sulfones; Sulfur Compounds,No,,,,,0,0,Yes,No,No,No,No
CP-195543,DB13053,small molecule,investigational,"Benzopyrans; Heterocyclic Compounds, Fused-Ring; Pyrans",No,,,,,0,0,Yes,No,No,No,No
ACT-451840,DB13054,small molecule,investigational,"Acids, Acyclic; Acrylates; Amides",No,,,,,0,0,Yes,No,No,No,No
Oteseconazole,DB13055,small molecule,approved; investigational,14-alpha Demethylase Inhibitors; Antifungal Agents; Antiinfectives for Systemic Use; Antimycotics for Systemic Use; Azole Antifungals,Yes,Once daily,1,,OpenFDA,207,1,Yes,Yes,Yes,Yes,Yes
Irsogladine,DB13056,small molecule,investigational,"Alimentary Tract and Metabolism; Anti-Ulcer Agents; Anticarcinogenic Agents; Compounds used in a research, industrial, or household setting; Drugs for Acid Related Disorders",No,,,,,0,0,Yes,No,No,No,No
Torapsel,DB13057,biotech,investigational,,No,,,,,0,0,Yes,No,No,No,No
Methanesulfonyl Fluoride,DB13058,small molecule,investigational,Cholinergic Agents; Cholinesterase Inhibitors; Enzyme Inhibitors; Neurotransmitter Agents; Sulfur Compounds,No,,,,,292,0,Yes,No,No,No,No
PF-03814735,DB13059,small molecule,investigational,"Heterocyclic Compounds, Fused-Ring; Protein Kinase Inhibitors",No,,,,,0,0,Yes,No,No,No,No
CEP-37440,DB13060,small molecule,investigational,"Acids, Carbocyclic; Amides; Benzene Derivatives; Benzoates",No,,,,,0,0,Yes,No,No,No,No
MLN8054,DB13061,small molecule,investigational,"Heterocyclic Compounds, Fused-Ring; Protein Kinase Inhibitors",No,,,,,0,0,Yes,Yes,No,No,No
ME-344,DB13062,small molecule,investigational,"Benzopyrans; Chromones; Flavonoids; Heterocyclic Compounds, Fused-Ring; Pyrans",No,,,,,0,0,Yes,No,No,No,No
Parthenolide,DB13063,small molecule,approved; investigational,"Analgesics; Analgesics, Non-Narcotic; Anti-Inflammatory Agents; Antirheumatic Agents; Asteraceae",Yes,,,Cutaneous,DrugBank text extraction,0,0,Yes,No,No,No,No
Tramazoline,DB13064,small molecule,investigational,Agents producing tachycardia; Agents that produce hypertension; Autonomic Agents; Nasal Preparations; Peripheral Nervous System Agents,Yes,,,Nasal,DrugBank text extraction,721,0,Yes,No,No,No,No
LY-2811376,DB13065,small molecule,investigational,Sulfur Compounds,No,,,,,0,0,Yes,No,No,No,No
Liarozole,DB13066,small molecule,investigational,"Antineoplastic Agents; Antineoplastic Agents, Hormonal; Dermatologicals; Enzyme Inhibitors; Hormone Antagonists",No,,,,,39,0,Yes,No,No,No,No
Rotigaptide,DB13067,small molecule,investigational,"Amino Acids, Peptides, and Proteins; Peptides",No,,,,,0,0,Yes,No,No,No,No
9-(N-methyl-L-isoleucine)-cyclosporin A,DB13068,small molecule,investigational,"Amino Acids, Peptides, and Proteins; Cyclosporins; Immunosuppressive Agents; Peptides; Peptides, Cyclic",No,,,,,353,0,Yes,No,No,No,No
Nimustine,DB13069,small molecule,investigational,Alkylating Drugs; Amides; Antineoplastic Agents; Antineoplastic and Immunomodulating Agents; Nitroso Compounds,No,,,,,39,0,Yes,No,No,No,No
Surinabant,DB13070,small molecule,investigational,"Agents producing tachycardia; Cannabinoid Receptor Antagonists; Cannabinoids and similars; Hormones; Hormones, Hormone Substitutes, and Hormone Antagonists",No,,,,,839,0,Yes,No,No,No,No
Creatinolfosfate,DB13071,small molecule,investigational,Cardiac Therapy,No,,,,,0,0,Yes,No,No,No,No
GDC-0349,DB13072,small molecule,investigational,Amides; Benzene Derivatives,No,,,,,0,0,Yes,No,No,No,No
Tregalizumab,DB13073,biotech,investigational,"Amino Acids, Peptides, and Proteins; Antibodies; Antibodies, Monoclonal; Antibodies, Monoclonal, Humanized; Blood Proteins",No,,,,,373,0,Yes,No,No,No,No
Macimorelin,DB13074,small molecule,approved; investigational,"Amino Acids; Amino Acids, Aromatic; Amino Acids, Cyclic; Amino Acids, Peptides, and Proteins; Cytochrome P-450 CYP3A Substrates",Yes,,,,OpenFDA,686,2,Yes,Yes,Yes,Yes,Yes
Menaquinone 7,DB13075,small molecule,investigational,Coagulants; Diterpenes; Hematologic Agents; Hemostatics; Naphthalenes,Yes,,,Intra-articular; Oral; Topical,DrugBank text extraction,1,0,Yes,No,No,No,No
Yttrium Y-90,DB13076,small molecule,approved; investigational,"Acids, Acyclic; Anti-Inflammatory Agents; Elements; Isotopes; Metals",Yes,,,Intra-articular; Intravenous; Other,DrugBank text extraction,0,0,Yes,No,No,No,No
Delpazolid,DB13077,small molecule,investigational,Anti-Bacterial Agents; Anti-Infective Agents; Enzyme Inhibitors; Oxazoles; Protein Synthesis Inhibitors,No,,,,,55,0,Yes,No,No,No,No
KOSN-1724,DB13078,small molecule,investigational,,No,,,,,0,0,Yes,No,No,No,No
Roluperidone,DB13080,small molecule,investigational,"Antidepressive Agents; Central Nervous System Depressants; Heterocyclic Compounds, Fused-Ring; Serotonin 5-HT2 Receptor Antagonists; Serotonin 5-HT2A Receptor Antagonists",No,,,,,0,0,Yes,No,No,No,No
Nefiracetam,DB13082,small molecule,investigational,"Central Nervous System Agents; Central Nervous System Depressants; Compounds used in a research, industrial, or household setting; Neuroprotective Agents; Nootropic Agents",No,,,,,663,0,Yes,No,No,No,No
Talarozole,DB13083,small molecule,investigational,"Cytochrome P-450 Enzyme Inhibitors; Enzyme Inhibitors; Heterocyclic Compounds, Fused-Ring; Thiazoles",No,,,,,0,0,Yes,Yes,No,No,No
Pyritinol,DB13084,small molecule,investigational,"Nervous System; Psychoanaleptics; Psychostimulants, Agents Used for ADHD and Nootropics; Pyridines",Yes,,,Oral,DrugBank text extraction,0,0,Yes,No,No,No,No
Lumefantrine co-artemether,DB13085,small molecule,approved; investigational,,No,,,,,0,0,Yes,No,No,No,No
Acoziborole,DB13086,small molecule,investigational,"Acids, Carbocyclic; Amides; Benzene Derivatives; Benzoates",No,,,,,0,0,Yes,No,No,No,No
Miridesap,DB13087,small molecule,investigational,,No,,,,,0,0,Yes,No,No,No,No
AZD-0424,DB13088,small molecule,investigational,"Enzyme Inhibitors; Heterocyclic Compounds, Fused-Ring; Protein Kinase Inhibitors",No,,,,,0,0,Yes,No,No,No,No
Enoxolone,DB13089,small molecule,investigational,Anti-Inflammatory Agents; Cicatrizants; Dermatologicals; Pentacyclic Triterpenes; Preparations for Treatment of Wounds and Ulcers,Yes,,,Oral; Topical,DrugBank text extraction,0,0,Yes,No,No,No,No
Zidebactam,DB13090,small molecule,investigational,Aza Compounds; Cycloparaffins,No,,,,,0,0,Yes,No,No,No,No
Tiropramide,DB13091,small molecule,investigational,"Alimentary Tract and Metabolism; Amino Acids; Amino Acids, Aromatic; Amino Acids, Cyclic; Amino Acids, Peptides, and Proteins",Yes,,,Oral; Intravenous,DrugBank text extraction,0,0,Yes,No,No,No,No
Meclocycline,DB13092,small molecule,investigational,Anti-Acne Preparations; Anti-Acne Preparations for Topical Use; Anti-Bacterial Agents; Anti-Infective Agents; Antiinfectives for Treatment of Acne,Yes,,,Topical; Vaginal,DrugBank text extraction,42,0,Yes,Yes,Yes,Yes,Yes
TAK-593,DB13093,small molecule,investigational,"Aza Compounds; Receptors, Platelet-Derived Growth Factor, antagonists & inhibitors",No,,,,,0,0,Yes,No,No,No,No
Pruvanserin,DB13094,small molecule,investigational,,No,,,,,0,0,Yes,No,No,No,No
JTK-853,DB13095,small molecule,investigational,,No,,,,,0,0,Yes,No,No,No,No
Gacyclidine,DB13096,small molecule,investigational,"Central Nervous System Agents; Compounds used in a research, industrial, or household setting; Cyclohexanes; Cycloparaffins; Excitatory Amino Acid Agents",No,,,,,0,0,Yes,No,No,No,No
1alpha-Hydroxyvitamin D5,DB13097,small molecule,investigational,Cholestanes; Cholestenes; Fused-Ring Compounds; Lipids; Membrane Lipids,No,,,,,157,0,Yes,No,No,No,No
CT-2584,DB13098,small molecule,investigational,"Alkaloids; Heterocyclic Compounds, Fused-Ring; Phospholipase D, antagonists & inhibitors; Purines; Purinones",No,,,,,0,0,Yes,No,No,No,No
Valnoctamide,DB13099,small molecule,investigational,Central Nervous System Depressants; Hypnotics and Sedatives; Nervous System; Psycholeptics,No,,,,,665,0,Yes,No,No,No,No
Biguanide,DB13100,small molecule,approved; investigational,Amidines; Blood Glucose Lowering Agents; Guanidines,Yes,,,,OpenFDA,0,0,Yes,No,No,No,No
4SC-202,DB13101,small molecule,investigational,"Acids, Carbocyclic; Amides; Benzene Derivatives; Benzoates",No,,,,,0,0,Yes,No,No,No,No
AZD-8418,DB13102,small molecule,investigational,,No,,,,,0,0,Yes,No,No,No,No
Camsirubicin,DB13103,small molecule,investigational,Anthracyclines; Carbohydrates; Glycosides; Naphthacenes,No,,,,,2,0,Yes,No,No,No,No
X-396,DB13104,small molecule,investigational,Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors,No,,,,,39,0,Yes,No,No,No,No
Resolvin E1,DB13105,small molecule,investigational,"Dietary Fats; Dietary Fats, Unsaturated; Eicosanoids; Fats; Fatty Acids",No,,,,,1,0,Yes,No,No,No,No
Glycovir,DB13106,small molecule,investigational,"Acids, Acyclic; Fatty Acids; Fatty Acids, Volatile; Lipids",No,,,,,0,0,Yes,No,No,No,No
QGC-001,DB13107,small molecule,investigational,"Acids; Acids, Noncarboxylic; Anions; Antihypertensive Agents; Cardiovascular Agents",No,,,,,0,0,Yes,No,No,No,No
Mephedrone,DB13108,small molecule,investigational,Agents producing tachycardia; Agents that produce hypertension; Amines; Amphetamines; Ethylamines,No,,,,,1012,0,Yes,No,No,No,No
PKI-179,DB13109,small molecule,investigational,Amides; Oxazines,No,,,,,0,0,Yes,No,No,No,No
Antimony,DB13110,small molecule,investigational,"Elements; Metalloids; Metals; Metals, Heavy",Yes,Three times daily,3,,OpenFDA,0,0,Yes,No,No,No,No
Chromanol,DB13111,small molecule,investigational,"Antioxidants; Benzopyrans; Biological Factors; Compounds used in a research, industrial, or household setting; Heterocyclic Compounds, Fused-Ring",No,,,,,0,0,Yes,No,No,No,No
Dolcanatide,DB13112,biotech,investigational,"Amino Acids, Peptides, and Proteins; Enzyme Activators; Gastrointestinal Agents; Guanylyl Cyclase C Agonists",No,,,,,0,0,Yes,No,No,No,No
JNJ-38877605,DB13113,small molecule,investigational,,No,,,,,0,0,Yes,No,No,No,No
Amitriptylinoxide,DB13114,small molecule,approved; investigational,"Agents that produce hypertension; Agents that reduce seizure threshold; Antidepressive Agents; Antidepressive Agents, Tricyclic; Benzocycloheptenes",Yes,,,Oral,DrugBank text extraction,1345,0,Yes,No,No,No,No
Saroglitazar,DB13115,small molecule,investigational,"Acids, Carbocyclic",Yes,,,Oral,DrugBank text extraction,0,0,Yes,No,No,No,No
Norflurane,DB13116,small molecule,approved; experimental,Aerosol Propellants; Aerosols; Alkanes; Anesthetics; Central Nervous System Agents,No,,,,,0,0,Yes,No,No,No,No
Pentafluoropropane,DB13117,small molecule,approved; investigational,"Hydrocarbons, Fluorinated; Hydrocarbons, Halogenated",No,,,,,0,0,Yes,No,No,No,No
Paquinimod,DB13118,small molecule,investigational,"Heterocyclic Compounds, Fused-Ring",No,,,,,0,0,Yes,No,No,No,No
GSK-364735,DB13119,small molecule,investigational,"Heterocyclic Compounds, Fused-Ring",No,,,,,0,0,Yes,No,No,No,No
Deferitazole,DB13120,small molecule,investigational,Ethers; Iron Chelating Agents; Sulfur Compounds,No,,,,,0,0,Yes,No,No,No,No
Hydroxypropyl tetrahydropyrantriol,DB13121,small molecule,investigational,,No,,,,,0,0,Yes,No,No,No,No
