Name,DrugBank ID (Primary),Type,Groups,Categories,has_dosing,Frequency,Times Per Day,Routes,Dosing Source,Interaction Count,Food Interaction Count,Has Description,Has Mechanism,Has Absorption,Has Metabolism,Has Half Life
t-Butylhydroquinone,DB07726,small molecule,experimental,"Antioxidants; Benzene Derivatives; Biological Factors; Calcium-Transporting ATPases, antagonists & inhibitors; Compounds used in a research, industrial, or household setting",No,,,,,0,0,No,No,No,No,No
"2-[2-(2-FLUOROPHENYL)PYRIDIN-4-YL]-1,5,6,7-TETRAHYDRO-4H-PYRROLO[3,2-C]PYRIDIN-4-ONE",DB07728,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
3-fluoro-N-[3-(1H-tetrazol-5-yl)phenyl]benzamide,DB07729,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
"5-(3-HYDROXYPHENYL)ISOTHIAZOL-3(2H)-ONE 1,1-DIOXIDE",DB07730,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
CAN-508,DB07731,small molecule,experimental,"Cyclin-Dependent Kinase 9, antagonists & inhibitors",No,,,,,0,0,No,No,No,No,No
2-[(2-NAPHTHYLSULFONYL)AMINO]ETHYL DIHYDROGEN PHOSPHATE,DB07732,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
"1-METHYL-3-TRIFLUOROMETHYL-1H-THIENO[2,3-C]PYRAZOLE-5-CARBOXYLIC ACID (2-MERCAPTO-ETHYL)-AMIDE",DB07733,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
N-(1-benzylpiperidin-4-yl)-4-sulfanylbutanamide,DB07734,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
"N-[1-(2,6-dimethoxybenzyl)piperidin-4-yl]-4-sulfanylbutanamide",DB07735,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
(2S)-4-(4-fluorobenzyl)-N-(2-sulfanylethyl)piperazine-2-carboxamide,DB07736,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
(2S)-4-(4-fluorobenzyl)-N-(3-sulfanylpropyl)piperazine-2-carboxamide,DB07737,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
"N-[1-(5-bromo-2,3-dimethoxybenzyl)piperidin-4-yl]-4-sulfanylbutanamide",DB07738,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
"(3R)-3-(FLUOROMETHYL)-7-(THIOMORPHOLIN-4-YLSULFONYL)-1,2,3,4-TETRAHYDROISOQUINOLINE",DB07739,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
"(7R,12R,13R)-13-formyl-12,14-dihydroxy-3,5,7-trimethyltetradeca-2,4-dienoic acid",DB07740,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
"4-(1R,3AS,4R,8AS,8BR)-[1-DIFLUOROMETHYL-2-(4-FLUOROBENZYL)-3-OXODECAHYDROPYRROLO[3,4-A]PYRROLIZIN-4-YL]BENZAMIDINE",DB07741,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
"N-(2,3-DIFLUORO-BENZYL)-4-SULFAMOYL-BENZAMIDE",DB07742,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
"S-[5-(TRIFLUOROMETHYL)-4H-1,2,4-TRIAZOL-3-YL] 5-(PHENYLETHYNYL)FURAN-2-CARBOTHIOATE",DB07743,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
Z-Val-Ala-Asp fluoromethyl ketone,DB07744,small molecule,experimental,"Amino Acids; Amino Acids, Peptides, and Proteins; Caspase Inhibitors; Central Nervous System Agents; Compounds used in a research, industrial, or household setting",No,,,,,0,0,Yes,No,No,No,No
2-{[4-(TRIFLUOROMETHOXY)BENZOYL]AMINO}ETHYL DIHYDROGEN PHOSPHATE,DB07745,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
3-ETHYL-6-{[(4-FLUOROPHENYL)SULFONYL]AMINO}-2-METHYLBENZOIC ACID,DB07746,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
"(3R)-N-(4-CHLOROPHENYL)-3-(HYDROXYMETHYL)-1,2,3,4-TETRAHYDROISOQUINOLINE-7-SULFONAMIDE",DB07747,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
2-({[4-(TRIFLUOROMETHOXY)PHENYL]SULFONYL}AMINO)ETHYL DIHYDROGEN PHOSPHATE,DB07748,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
2-ACETYLAMINO-4-METHYL-PENTANOIC ACID (1-FORMYL-2-PHENYL-ETHYL)-AMIDE,DB07749,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
"(2R)-1-[4-({4-[(2,5-Dichlorophenyl)amino]-2-pyrimidinyl}amino)phenoxy]-3-(dimethylamino)-2-propanol",DB07750,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
"(2S)-1-[4-({6-[(2,6-Difluorophenyl)amino]-4-pyrimidinyl}amino)phenoxy]-3-(dimethylamino)-2-propanol",DB07751,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
"3',5'-DIFLUOROBIPHENYL-4-CARBOXYLIC ACID",DB07753,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
DCFBC,DB07754,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
"(2S)-1-[4-({4-[(2,5-Dichlorophenyl)amino]-2-pyrimidinyl}amino)phenoxy]-3-(dimethylamino)-2-propanol",DB07755,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
"1-[3-({[(4-AMINO-5-FLUORO-2-METHYLQUINOLIN-3-YL)METHYL]THIO}METHYL)PHENYL]-2,2,2-TRIFLUOROETHANE-1,1-DIOL",DB07756,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
"(9aS)-4-bromo-9a-butyl-7-hydroxy-1,2,9,9a-tetrahydro-3H-fluoren-3-one",DB07757,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
"5-(2,5-DICHLOROPHENYL)-2-FUROIC ACID",DB07758,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
5-[2-(TRIFLUOROMETHYL)PHENYL]-2-FUROIC ACID,DB07759,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
"3-[(1E,7E)-8-(2,6-dioxo-1,2,3,6-tetrahydropyrimidin-4-yl)-3,6-dioxa-2,7-diazaocta-1,7-dien-1-yl]benzoic acid",DB07760,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
